Iteration	Posterior	Likelihood	Prior	neo_beta	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_beta	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
462	-4234.945	-4790.568	555.6228	0.6098679	0.47942	0.308416	0.101762	0.110402	1.408698	2.311769	0.8819151	0.569554	0.235795	0.0774788	0.117173
468	-4232.517	-4788.232	555.7149	0.5444993	0.486465	0.191005	0.223396	0.0991341	1.433807	2.319964	0.8221831	0.546126	0.246152	0.0808819	0.126841
474	-4233.164	-4788.902	555.7388	0.5606364	0.536968	0.210834	0.192451	0.059748	1.498048	2.319964	0.7226089	0.533265	0.253126	0.0831737	0.130435
480	-4212.382	-4768.094	555.7117	0.652408	0.470607	0.207963	0.208148	0.113282	1.42869	2.302306	0.748905	0.515347	0.130356	0.228245	0.126052
486	-4194.279	-4749.661	555.382	0.6935678	0.544418	0.18755	0.12591	0.142122	1.469686	2.457763	0.7484765	0.55148	0.177831	0.153588	0.117101
492	-4194.231	-4749.641	555.4101	0.6438598	0.537551	0.240005	0.0659587	0.156484	1.239662	2.622555	0.7388907	0.518877	0.226437	0.144508	0.110178
498	-4208.589	-4763.616	555.0275	0.5008413	0.412271	0.312763	0.0730722	0.201894	1.306422	2.605552	1.229554	0.624241	0.115649	0.173852	0.0862585
504	-4212.452	-4767.873	555.4212	0.5956668	0.481794	0.329884	0.0848313	0.10349	1.38455	2.384526	1.006228	0.711634	0.111195	0.092385	0.0847863
510	-4200.112	-4756.07	555.9588	0.5783576	0.594161	0.195201	0.0558072	0.154831	1.619566	1.891475	1.006228	0.675741	0.139409	0.0785512	0.106299
516	-4200.753	-4756.79	556.0366	0.6124349	0.497744	0.163525	0.238141	0.10059	1.619566	1.891475	0.8941401	0.597209	0.212828	0.0973746	0.0925879
522	-4231.892	-4787.88	555.9878	0.5142567	0.487406	0.237002	0.172987	0.102604	1.507733	2.067977	0.8925953	0.624221	0.146305	0.181686	0.0477874
528	-4229.549	-4784.908	555.3596	0.5139682	0.487406	0.237002	0.172987	0.102604	1.512867	2.265704	1.217003	0.557625	0.200048	0.193652	0.0486748
534	-4219.758	-4774.908	555.1504	0.7800717	0.538944	0.262062	0.0377451	0.161249	1.38204	2.541165	0.8384829	0.527863	0.194924	0.18701	0.0902028
540	-4217.379	-4772.608	555.2295	0.7575921	0.478226	0.333066	0.0456259	0.143082	1.380965	2.568535	0.7447164	0.467624	0.449917	0.0607841	0.0216758
546	-4211.716	-4766.151	554.4355	0.6136118	0.58964	0.163316	0.128759	0.118285	1.258293	3.32214	0.5732191	0.495637	0.325793	0.155595	0.0229744
552	-4220.571	-4775.829	555.2577	0.6341598	0.559098	0.250235	0.0993751	0.0912915	1.235412	2.861867	0.5250569	0.357135	0.534767	0.10368	0.00441808
558	-4220.997	-4777.189	556.1927	0.5714954	0.522776	0.229814	0.0912652	0.156145	1.571898	2.10583	0.5246863	0.458581	0.348313	0.133131	0.0599747
564	-4208.934	-4764.842	555.9079	0.6244942	0.487925	0.281158	0.085181	0.145735	1.513163	2.212772	0.6432786	0.401748	0.436321	0.0868028	0.0751284
570	-4225.299	-4780.064	554.765	0.558722	0.494404	0.284892	0.0730336	0.14767	1.393841	3.128394	0.4944803	0.350646	0.473591	0.0942173	0.0815457
576	-4203.376	-4758.802	555.4254	0.558722	0.471617	0.271408	0.116293	0.140681	1.30917	2.770466	0.5131517	0.430947	0.414219	0.109028	0.0458062
582	-4199.238	-4754.108	554.8693	0.6635694	0.531798	0.178437	0.131133	0.158633	1.330966	2.916178	0.6892983	0.475617	0.380669	0.101618	0.0420961
588	-4216.741	-4771.986	555.2451	0.6635694	0.479525	0.18493	0.199049	0.136496	1.393862	2.869939	0.2860413	0.355012	0.547142	0.0640494	0.0337965
594	-4217.123	-4772.333	555.2106	0.7605841	0.51175	0.0844387	0.252898	0.150913	1.313017	2.869939	0.2004551	0.493386	0.386216	0.0734279	0.0469695
